Номенклатура,Номенклатура.Код,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
Кабель-канал 40х16 белый ЭЛЕКОР IEK (30),280100009_,40,206,2,200,82,4,238,,20,10,,14,2,22,22,,,60,322,10,122,14,36,44,16,164,10,28,,,64,,,1752
Кабель-канал 40х16 дуб ЭЛЕКОР IEK (30),280100343_,,,,14,,24,,54,50,,,,,14,,,6,12,16,2,,48,,,,,8,,,,,,,248
Кабель-канал 40х16 ольха ЭЛЕКОР IEK (30),280100406_,,,,,,18,,,2,,20,,2,4,,56,4,12,,,,12,,,,20,,10,,8,80,,,248
Кабель-канал 40х16 сосна ЭЛЕКОР IEK (30),280100378_,,,,,,,,,8,,,8,,2,,,,6,,,16,4,,,20,,,,,,,,,64
Кабель-канал 40х16 черный ЭЛЕКОР IEK (30),280100412_,,8,,,,,14,,,,10,,,,,14,,6,,,4,,,16,,,,6,,,,,,78
Кабель-канал 40х25 белый ЭЛЕКОР IEK (24),280100010_,766,1042,198,464,706,354,252,3136,4802,140,738,912,674,378,286,154,338,416,160,630,1162,916,324,306,60,1136,1076,794,536,974,900,222,230,25182
Кабель-канал 40х25 дуб ЭЛЕКОР IEK (18),280100344_,,,,14,44,44,4,56,4,36,16,,4,8,12,6,34,32,66,4,82,,4,20,8,80,10,30,4,14,74,4,,714
Кабель-канал 40х25 ольха ЭЛЕКОР IEK (18),280100407_,,,,16,8,,10,10,,,14,,,,86,10,20,,14,8,,8,,,50,6,,,6,2,28,,8,304
Кабель-канал 40х25 сосна ЭЛЕКОР IEK (18),280100379_,,,,2,16,2,2,30,8,10,44,40,12,2,,,6,,20,24,,18,2,4,,20,14,4,4,,,4,,288
Кабель-канал 40х25 черный ЭЛЕКОР IEK (24),280100338_,20,82,20,46,18,16,,4,14,70,6,12,2,30,,20,36,,10,46,16,16,46,6,70,,48,,2,10,,38,,704
Кабель-канал 40х25 черный ЭЛЕКОР IEK (за штуку) (24),EL-KK10-040-025-1-K0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
Кабель-канал 40х40 белый ЭЛЕКОР IEK (24),280100011_,190,142,46,122,790,136,416,438,206,298,152,152,80,56,44,300,452,20,92,162,58,44,76,8,86,98,30,68,50,74,118,233,10,5247
Кабель-канал 40х40 черный ЭЛЕКОР IEK (24),280100413_,2,32,,,12,10,,10,4,,,,,10,40,4,24,,4,10,28,,,,,,2,,,,,,,192
Кабель-канал 60х40 белый ЭЛЕКОР IEK (18),280100012_,300,328,102,308,246,260,586,182,140,300,282,160,126,200,198,24,276,356,294,120,160,584,194,220,100,230,84,400,152,178,596,310,240,8236
Кабель-канал 60х40 белый ЭЛЕКОР IEK (за штуку) (18),CKK10-060-040-1-K01-,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
Кабель-канал 60х40 черный ЭЛЕКОР IEK (18),280100414_,14,8,,8,,,40,8,2,4,2,10,6,8,2,8,14,,,18,22,,,4,30,,,,,,2,2,,212
Кабель-канал 60х60 белый ЭЛЕКОР IEK (12),280100013_,,10,,16,38,2,2,6,30,2,10,48,,,,,12,8,14,14,8,14,14,4,,,12,,42,,2,18,12,338
Кабель-канал 60х60 черный ЭЛЕКОР IEK (12),280100415_,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,12
Кабель-канал 80х40 белый ЭЛЕКОР IEK (10),280100014_,6,16,12,8,40,36,,,,30,12,2,32,16,6,30,6,,12,20,18,16,,10,2,,36,18,8,6,,20,,418
Кабель-канал 80х40 черный ЭЛЕКОР IEK (10),280100416_,2,,,,,,,4,,,,,,,20,2,,,,12,8,,4,2,,16,,,,,,,,70
Кабель-канал 80х60 белый ЭЛЕКОР IEK (8),280100015_,,2,12,6,14,6,6,,,20,,8,,2,,,,4,,2,4,,,4,,,6,,4,,,,,100
Кабель-канал 80х60 черный ЭЛЕКОР IEK (8),280100417_,,,,,2,4,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,12
Кабель-канал напольный 70х16  ЭЛЕКОР (42м),280100103_,1618,870,1154,1128,894,980,1312,2352,2160,1464,1230,742,1078,2446,882,922,1596,1212,1016,1194,918,1528,2114,1064,568,880,1466,1342,776,848,625,1400,574,40353
Кабель-канал перфорированный  25х25 ИМПАКТ IEK (100),270300078_,62,78,48,26,126,166,146,4,46,160,122,46,62,38,2,2,100,54,30,190,62,44,66,36,36,14,,2,36,50,24,126,26,2030
Кабель-канал перфорированный  25х40 ИМПАКТ IEK (60),270300079_,164,50,202,172,76,188,86,,360,66,120,414,,,190,50,82,76,283,262,152,262,116,134,48,126,124,176,26,74,206,212,102,4599
Кабель-канал перфорированный  40х40 ИМПАКТ IEK (36),280100020_,244,148,176,156,146,380,20,2,524,188,294,210,180,246,198,90,500,214,390,172,224,434,114,194,174,190,178,264,62,164,308,138,256,7178
Кабель-канал перфорированный  40х60 ИМПАКТ IEK (24),270300105_,102,224,70,90,74,134,174,6,436,42,516,42,48,154,158,128,144,524,248,194,118,180,210,150,72,70,114,78,112,552,,,2,5166
Кабель-канал перфорированный  60х40 ИМПАКТ IEK (24),270300200_,20,12,50,64,26,68,10,,26,40,46,6,16,52,48,,122,8,32,28,36,52,68,20,48,72,42,8,78,68,56,70,18,1310
Кабель-канал перфорированный  60х60 ИМПАКТ IEK (16),270300150_,20,118,44,64,22,108,54,,26,102,62,72,44,,30,22,142,18,44,144,32,80,72,80,14,48,48,48,46,28,158,44,60,1894
Кабель-канал перфорированный  80х60 ИМПАКТ IEK (16),270300151_,2,34,40,14,88,4,2,38,96,62,,28,26,42,,,28,16,50,36,6,64,46,90,-32,64,32,,,,,,8,884
Кабель-канал перфорированный 100х60 ИМПАКТ IEK (12),270300153_,,24,2,24,4,12,22,10,34,8,10,16,16,18,6,4,22,56,10,12,2,30,10,24,2,42,8,8,22,22,36,28,16,560
"Катушка УК10 2P+PE/10м 3х1,5мм2 КГ автосм. IP44 TWIST IEK",290200129_,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
"Катушка УК10 4мест. 2P+PE/10м 3х1,5мм2 автосм. TWIST IEK",290200128_,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2
"Катушка УК15 1мест. 2P+PE/15м+2м 3х1,5мм2 автосм.TWIST IEK",290200126_,,,,,,,,,,,2,,2,,1,3,1,1,5,,,1,,,,,,,2,,,,,18
"Катушка УК15 2P+PE/15м 3х1,5мм2 КГ автосм. IP44 TWIST IEK",290200130_,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,2,2,,,7
"Катушка УК20 4мест. 2P+PE/20м 3х1,5мм2 автосм. TWIST IEK",290200131_,,,,,,,,,,,,,,,2,1,1,,,1,4,2,2,1,1,,,1,,,,,,16
"Катушка УК20 с т/з 4 места 2P+PE/20метров 3х1,5мм2 IP44 ""Industrial plus""",290200068_,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Катушка УК25 1мест. 2P+PE/25м+2м 3х1,5мм2 автосм. TWIST IEK",290200127_,,,,,,,,,,,2,,,,,2,,,,,2,2,,,,2,,,6,3,2,,,21
"Катушка УК50 на мет с т/з 4 места 2P+PE/50м КГ 3х1,5мм2 IP44 ""Professional""",290200030_,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Клемма вводная силовая КВС 16-95 кв.мм. синяя IEK,130301665_,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3
Клемма вводная силовая КВС 6-50 кв.мм. 3-рядная серая IEK,130301669_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8
"Клещи обжимн КО-01 1,5-6мм IEK (40)",130300546_,2,4,1,6,5,6,4,12,4,8,15,3,3,9,6,2,,6,5,1,3,3,4,1,1,,2,1,2,2,3,1,1,126
"Клещи обжимн КО-04Е 0,5-6мм(квадрат) IEK (40)",130300544_,1,2,1,1,3,1,,4,4,1,2,,5,3,9,2,1,8,5,4,1,2,1,2,1,4,2,,2,2,,2,,76
Клещи обжимн КО-07Е 10-35мм IEK (40) ,130300147_,1,,,,1,1,,2,,,1,2,2,,,,,1,,1,,,,1,1,1,,,,,,,,15
"Клещи обжимн КО-08Е0,5-6мм (шестиграннник) IEK (40)",130300545_,4,,,2,3,1,2,,,1,1,,,2,1,,,4,2,2,,,1,3,1,1,,,1,1,,2,1,36
Клещи обжимн КО-6Е 6-16мм IEK (40),130300033_,,1,1,,1,,1,,3,2,,,5,,1,4,,,2,,,,,,2,,1,2,,1,5,2,,34
"Клещи обжимные КО-02 1,5-2,5мм IEK!!!",ярп40309,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
"Клещи обжимные КО-03Е 6,0-16 мм2 (квадрат) IEK",130300831_,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
КМПн 2 белый IP41 TEKFOR Mini  IEK,251400045_,,,,,,,,,,,,,2,,3,,6,18,26,18,23,5,4,16,18,14,6,3,10,4,9,9,1,195
КМПн 4 белый IP41 TEKFOR Mini  IEK,251400046_,,,,,,,,,,,,,2,4,13,9,5,11,10,4,27,17,4,6,5,24,2,8,4,2,9,6,,172
КМПн 6 белый IP41 TEKFOR Mini  IEK,251400047_,,,,,,,,,,,,,90,40,3,6,2,4,6,8,15,1,30,4,5,1,,,,,3,,1,219
КМПн 6 черн. прозр. дверь IP65 TEKFOR IEK,251400021_,,,,,,,,,,,,1,1,6,2,8,16,7,2,,4,11,3,4,,,1,1,9,1,,3,,80
КМПн 8  черн. прозр. дверь IP65 TEKFOR IEK,251400022_,,,,,,,,,,,,2,,,2,9,1,1,2,3,1,1,1,1,,1,,1,,1,,1,,28
КМПн-12  черн. прозр. дверь IP65 TEKFOR IEK,251400023_,,,,,,,,,,,,1,,,,5,3,,6,7,2,3,2,3,1,5,1,,2,4,4,1,,50
КМПн-18  черн. прозр. дверь IP65 TEKFOR IEK,251400024_,,,,,,,,,,,,5,,12,1,2,,,1,5,3,5,,,,1,,,1,,,1,,37
КМПн-24  черн. прозр. дверь IP65 TEKFOR IEK,251400025_,,,,,,,,,,,,,,,3,,3,3,1,2,1,1,2,2,2,2,,,,2,,,,24
КМПн-36  черн. прозр. дверь IP65 TEKFOR IEK,251400026_,,,,,,,,,,,,1,,,2,,3,2,5,2,5,,1,1,1,1,,,1,1,,1,,27
КМПн-54 черн. прозр. дверь IP65 TEKFOR IEK,251400027_,,,,,,,,,,,,,3,2,5,3,7,10,2,4,1,2,,2,1,,3,1,,3,,3,1,53
Кнопка ABLFS-22 (зеленый неон) IEK (10/200),130300021_,27,43,26,74,78,48,24,36,41,33,129,122,22,66,47,13,27,,10,6,36,89,26,74,26,13,4,,4,4,41,17,,1206
Кнопка ABLFS-22 (красный неон) IEK (10/200),130300022_,33,39,22,69,53,63,53,22,22,28,44,57,58,77,31,18,12,15,1,29,18,65,14,74,20,20,4,24,,3,41,18,10,1057
"Кнопка AEA-22  (грибок, красный)  IEK  (10/200)",130900065_,3,10,,29,31,7,32,10,6,,26,3,1,4,,62,7,3,,,,25,6,20,,2,24,6,7,,5,3,,332
Кнопка AEAL-22 (грибок с фиксац.красн) IEK (10/200),130900017_,190,81,28,74,23,71,67,15,91,193,186,32,201,71,26,79,59,16,89,27,24,66,8,13,22,88,8,24,79,2,2,12,21,1988
Кнопка AELA-22 (грибок зеленый неон) IEK (10/200),130900031_,,10,2,14,,1,6,5,,,5,,10,9,-4,,7,,2,,,1,,1,,,1,,16,,,9,,95
Кнопка AELA-22 (грибок красный неон) IEK (10/200),130900030_,,10,20,116,50,7,6,11,,4,2,11,9,,,8,4,12,1,,,,1,3,,5,,10,19,,2,2,,313
Кнопка ALCLR-22 (черный.на 3 полож) IEK (10/200),130900008_,12,2,4,6,9,18,14,23,45,30,32,3,23,76,3,23,7,,2,19,49,14,,30,6,,20,1,7,1,,23,,502
Кнопка ANE-22 (грибок с фиксац.красн.неон) IEK (10/200),130900009_,10,6,3,41,102,30,78,26,13,117,99,4,109,104,127,-10,11,12,70,30,20,57,28,7,12,3,9,2,42,41,7,59,12,1281
"Кнопка APBB-22N ""ПУСК-СТОП"" Ø22мм IEK(10/200)",130300154_,119,44,22,126,165,158,51,194,158,76,152,154,103,72,153,75,51,61,93,62,172,83,162,75,46,33,112,29,49,26,19,22,90,3007
"Кнопка APВВ-22N ""I-O"" d22мм неон/240В 1з+1р IEK E-PRO",130300742_,,8,,2,,,,13,,,40,3,,,,,,,,,,,,,,,,,,,,,,66
"Кнопка PPВВ-30N ""ПУСК-СТОП"" Ø30мм IEK (10/200)",130300080_,20,39,52,26,80,4,7,69,10,35,41,41,31,27,49,11,35,23,32,11,34,70,17,23,28,33,15,83,37,44,5,6,14,1052
"Кнопка SB-7 ""ПУСК"" (зеленая Ø22мм) IEK (10/500)",130900020_,274,96,70,78,386,175,83,173,236,240,173,342,101,157,199,128,147,43,190,82,79,541,53,76,64,162,121,333,192,115,248,68,122,5547
"Кнопка SB-7 ""СТОП"" (красная Ø22мм) IEK (10/500)",130900019_,189,78,59,73,215,163,79,102,149,250,126,187,74,142,192,131,118,44,167,78,65,316,109,287,54,154,160,328,76,144,225,38,130,4702
"Колодка клеммная CP 1,5мм2 серая IEK",130301634_,,,,,,,,,,,,,,,,,,,,,,,,30,20,,,,50,,,100,,200
Колодка клеммная CP 10мм2 серая IEK,130301689_,,,,,,,,,,,30,10,2,,,,,,,,,,,,,,,,,,,30,,72
"Колодка клеммная CP 2,5мм2 серая IEK",130301635_,,,,,,,,34,,,,410,12,30,,20,250,40,,,40,,251,,20,,25,119,,,160,150,50,1611
Колодка клеммная CP 4мм2 серая IEK,130301636_,,,,,,,,,,,,20,,,,,,10,,,,,,2,10,,5,7,,60,30,,,144
"Колодка клеммная CP-DT измерит. нож. разм. 2,5мм2 серая IEK",130301704_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10
Колодка клеммная CP-MC 3 вывода 10мм2 серая IEK,130301693_,,,,,,,,,,,,,2,,,1,,,,,,5,,,,,,,,5,,,,13
"Колодка клеммная CP-MC 3 вывода 2,5мм2 серая IEK",130301638_,,,,,,,,,,,,,,,,6,,,,2,20,,160,40,,,5,30,,,,,10,273
"Колодка клеммная CP-MC 4 вывода 2,5мм2 серая IEK",130301639_,,,,,,,,,,,,,,,,,,,,5,10,,,,,10,,,,10,,,,35
Колодка клеммная CP-MC 4 вывода 4мм2 серая IEK,130301692_,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5
"Колодка клеммная CP-MC-PEN земля 3 вывода 1,5мм2 IEK",130301698_,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5
"Колодка клеммная CP-MC-PEN земля 3 вывода 2,5мм2 IEK",130301642_,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10
"Колодка клеммная CP-MC-PEN земля 4 вывода 2,5мм2 IEK",130301700_,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10,,,20
Колодка клеммная CP-MC-PEN земля 4 вывода 4мм2 IEK,130301702_,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
"Колодка клеммная CP-ML 2 ур. 1,5мм2 серая IEK",130301695_,,,,,,,,,,,49,,,,,,,,1,,49,,,50,,,30,20,,,,,,199
"Колодка клеммная CP-ML 2 ур. 2,5мм2 серая IEK",130301640_,,,,,,,,,,,,,,,,,,,,,,,,,40,,20,40,,50,,,,150
Колодка клеммная CP-ML 2 ур. 4мм2 серая IEK,130301696_,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,6
"Колодка клеммная CP-ML 2 ур. нож. разм. 2,5мм2 серая IEK",130301703_,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
"Колодка клеммная CP-ML-PEN 2 ур. земля-низ 1,5мм2 серая IEK",130301694_,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
"Колодка клеммная CP-PEN земля 2,5мм2 желто-зеленая IEK",130301641_,,,,,,,,,,,,,,,,50,,,153,,51,4,,18,,4,25,12,,6,5,20,10,358
Колодка клеммная CP-PEN земля 4мм2 желто-зеленая IEK,130301697_,,,,,,,,,,,,,,,,32,,,15,,,,,,,,2,4,,,,,,53
"Колодка клеммная CTS   2,5мм2 серая IEK",130301608_,,,,,,,,30,15,,120,15,,,50,80,162,65,35,110,200,25,50,333,,238,28,106,56,150,40,28,40,1976
"Колодка клеммная CTS   2,5мм2 синяя IEK",130301609_,,,,,,,,,,10,200,20,,,50,108,4,25,,30,100,15,14,176,,22,10,4,,50,20,,10,868
Колодка клеммная CTS   4мм2 серая IEK,130301610_,,,,,,,,,,20,,,250,40,,30,66,80,100,20,54,54,10,37,10,4,220,40,,42,100,8,25,1210
Колодка клеммная CTS   4мм2 синяя IEK,130301611_,,,,,,,,,,20,,,11,40,,,23,10,50,,,,,23,8,17,180,2,3,5,20,,60,472
Колодка клеммная CTS   6мм2 серая IEK,130301612_,,,,,,,,20,20,,322,4,60,7,,97,,36,1,,,22,101,86,,3,10,6,,41,3,5,,844
Колодка клеммная CTS   6мм2 синяя IEK,130301613_,,,,,,,,,,,,,2,,,12,,13,1,,6,2,7,10,,40,4,8,,31,,10,17,163
Колодка клеммная CTS  10мм2 серая IEK,130301614_,,,,,,,,102,,,,2,3,,2,,4,15,,20,54,30,20,17,9,5,,,,5,9,5,15,317
Колодка клеммная CTS  10мм2 синяя IEK,130301615_,,,,,,,,17,,35,,,3,,2,5,,,,6,10,,,1,1,18,10,1,,1,3,,4,117
Колодка клеммная CTS  16мм2 серая IEK,130301616_,,,,,,,,,,,33,7,,100,,3,20,55,8,80,1,12,,16,2,2,1,21,6,30,,1,,398
Колодка клеммная CTS  16мм2 синяя IEK,130301617_,,,,,,,,,12,,,2,,1,,2,1,,20,8,10,11,,2,2,,11,,,4,,7,13,106
Колодка клеммная CTS  25мм2 серая IEK,130301618_,,,,,,,,,,,,1,,,,19,,10,,30,1,,5,,,,25,,,12,13,,,116
Колодка клеммная CTS  35мм2 серая IEK,130301620_,,,,,,,,,,,,6,,,,,4,10,10,,,13,,12,,,,40,,4,12,6,1,118
Колодка клеммная CTS  35мм2 синяя IEK,130301622_,,,,,,,,50,,14,,2,,2,,,2,,1,24,,5,2,,,,,,,,,,,102
Колодка клеммная CTS  70мм2 серая IEK,130301623_,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,2,,,,,17
Колодка клеммная CTS  70мм2 синяя IEK,130301625_,,,,,,,,,,,,,,,,,,,,,,1,,21,,,,,,3,2,12,1,40
Колодка клеммная CTS 25мм2 синяя IEK,130301619_,,,,,,,,,,5,3,,,1,,1,,,,8,1,4,5,,,1,,,,,70,,,99
Колодка клеммная CTS с шестигранником 35мм2 серая IEK,130301621_,,,,,,,,,,,,1,,6,,,,,,10,7,3,1,,,,,,,,,6,15,49
Колодка клеммная CTS с шестигранником 70мм2 серая IEK,130301624_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
Колодка клеммная CTS-F с предохранителем 4мм2 серая IEK,130301633_,,,,,,,,,,,,,,,,,,,,20,,,,15,,5,2,,,,,,,42
Колодка клеммная CTS-MC 4 вывода 4мм2 серая IEK,130301688_,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,10,,,,17
Колодка клеммная CTS-MC-PEN земля 4 вывода 4мм2 IEK,130301686_,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4
Колодка клеммная CTS-ML 2 ур. 4мм2 серая IEK,130301631_,,,,,,,,,,,,,,,,,150,,50,,,,,24,,,20,,,,,,,244
"Колодка клеммная CTS-ML 3 ур. 2,5мм2 серая IEK",130301632_,,,,,,,,,,,,,,,,,,,,,,,70,30,,,,,,40,,,,140
Колодка клеммная CTS-PEN земля 10мм2 желто-зеленая IEK,130301628_,,,,,,,,17,,35,,31,3,,,,4,,5,1,8,2,,,3,18,,23,,2,2,1,3,158
Колодка клеммная CTS-PEN земля 16мм2 желто-зеленая IEK,130301629_,,,,,,,,,,28,,4,1,,6,,4,,3,12,4,7,,2,,,,21,,1,,,,93
Колодка клеммная CTS-PEN земля 4мм2 желто-зеленая IEK,130301626_,,,,,,,,,,,4,24,10,30,20,30,42,5,15,162,,117,,8,8,61,,164,1,10,7,3,,721
Колодка клеммная CTS-PEN земля 6мм2 желто-зеленая IEK,130301627_,,,,,,,,22,,,4,,,,,38,,5,11,64,,,7,18,,6,,4,,,,,1,180
Колодка клеммная CTS-PEN земля монтаж неск. напр. 35мм2 IEK,130301630_,,,,,,,,,,,,2,,1,,,,,,25,,1,,,,,,10,,6,,,3,48
Комплект заземления 6/20 б/м оц. сталь HDZ IEK,280301023_,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,,6
Комплект заземления 9/20 б/м оц. сталь HDZ IEK,280301024_,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,3
Комплект щупов щупов и крокодилов TL30 IEK ARMA2L 5 IEK (200) NEW,130200441_,7,14,,1,,,,,,2,3,5,,,,,,1,3,4,3,1,3,1,1,4,3,5,1,4,,,,66
Консоль STRUT 41х21-200 EZ IEK,280300744_,,,,,,,,,,,,,,,,,,,,,,24,,30,,4,,,2,3,5,,,68
Консоль STRUT 41х21-300 EZ IEK,280300745_,,,,,,,,,,,,,,,,,,,,,,,2,19,,,,,,4,17,5,3,50
Консоль потолочная VR 100 IEK,CLW10-VR-100,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
Контакт состояния КС47 на DIN-рейку  НОВЫЕ IEK (320) !!!,010800054_,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,8
Контактор  КМИ-10960 9А 220В  IP54  (1вел в корпусе) IEK (1/20),120100055_,1,5,5,25,32,16,13,20,7,14,21,6,7,4,1,18,7,5,19,40,8,48,15,39,45,2,15,21,41,64,7,37,10,618
Контактор  КМИ-10960 9А 380В  IP54 (1вел в корпусе) IEK (1/20),120100045_,,9,,7,8,5,,11,4,8,20,,5,2,8,10,1,2,,8,2,4,5,7,4,1,,1,,1,3,6,1,143
Контактор  КМИ-11260 12А 220В  IP54 (1вел в корпусе) IEK (1/20),120100056_,4,12,18,9,4,,,,,14,16,6,5,13,3,13,4,1,,,31,8,10,16,,21,,,10,15,11,4,,248
Контактор  КМИ-11260 12А 380В  IP54 (1вел в корпусе) IEK (1/20),120100003_,,1,3,5,1,1,7,1,3,,6,7,,1,,,,,1,7,5,4,2,5,,,4,1,1,,3,4,1,74
Контактор  КМИ-11860 18А 220В  IP54 (1вел в корпусе) IEK (1/20),120100057_,1,5,2,10,3,9,17,3,4,5,3,20,1,14,,3,3,8,,20,5,27,7,6,29,,5,7,3,10,,15,4,249
Контактор  КМИ-11860 18А 380В  IP54 (1вел в корпусе) IEK (1/20),120100005_,9,7,,3,3,6,3,4,8,1,,12,,4,,,,,,5,6,9,4,5,,5,,,12,,5,3,3,117
Контактор  КМИ-22560 25А 220В  IP54 (2вел в корпусе) IEK (1/16),120100058_,5,13,,24,22,1,,7,17,24,20,32,4,2,4,22,15,,,40,10,6,7,17,7,5,11,15,,16,5,,1,352
Контактор  КМИ-22560 25А 380В  IP54 (2вел в корпусе) IEK (1/16),120100008_,10,1,3,13,16,9,4,18,4,2,26,13,1,3,8,13,1,,,4,20,22,12,16,5,1,4,9,1,9,2,3,6,259
Контактор  КМИ-23260 32А 220В  IP54 (2вел в корпусе) IEK (1/16),120100059_,11,9,,4,1,1,2,2,3,,15,9,4,1,1,1,12,4,,1,3,3,1,9,2,2,,2,1,9,5,5,1,124
Контактор  КМИ-23260 32А 380В  IP54 (2вел в корпусе) IEK (1/16),120100010_,3,2,1,1,7,5,,2,3,7,,3,5,2,3,,2,,,1,1,,1,,4,3,,1,,2,3,3,1,66
Контактор  КМИ-34062 40А 220В  IP54 (3вел в корпусе) IEK (1/6),120100080_,6,2,4,7,,2,10,1,6,,,7,2,3,,1,1,5,,1,,7,1,3,3,,,1,2,,,1,,76
Контактор  КМИ-35062 50А 220В  IP54 (3вел в корпусе) IEK (1/6),120100060_,,3,,,,1,4,,,,,1,-1,,1,,,,,,,,,,1,,1,,,,,,,11
Контактор  КМИ-46562 65А 380В  IP54 (3вел в корпусе) IEK (1/6),120100122_,,,3,4,2,2,1,,5,1,,6,,,,4,,,,,1,3,,1,,5,,,,,,3,2,43
Контактор  КТИ 5115  115А 230В IEK (1/4) ,120300008_,9,11,5,20,16,13,16,15,10,1,9,14,8,20,13,4,5,21,14,33,7,4,14,1,1,2,1,9,1,2,10,5,7,321
Контактор  КТИ 5115  115А 400В IEK (1/4) ,120300023_,,7,1,6,,2,,1,,,,4,,,1,1,1,1,,4,,4,,1,,,2,1,,1,,2,,40
Контактор  КТИ 5150  150А 230В IEK (1/4) ,120100043_,2,9,3,7,10,2,2,,8,10,,13,10,7,3,15,1,6,16,9,3,28,1,9,3,37,20,5,8,2,5,2,5,261
Контактор  КТИ 5150  150А 400В IEK (1/4) ,120100044_,1,4,3,,1,5,,2,2,,10,3,6,4,1,2,2,2,2,15,,5,5,3,,3,,1,1,,11,1,,95
Контактор  КТИ 5185  185А 230В IEK (1/4) ,120100085_,5,10,,4,5,5,2,8,,2,3,5,1,12,11,,5,7,5,8,2,5,4,5,3,17,15,9,2,13,,4,11,188
Контактор  КТИ 5185  185А 400В IEK (1/4) ,120100088_,,,,2,4,1,1,5,,,3,-1,3,,,3,,,1,,1,5,,,,2,1,1,,,1,4,,37
Контактор  КТИ 51853 185А 220В (реверс) IEK (4) !!!,нов3393,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Контактор  КТИ 5225  225А 230В IEK (1/2) ,120100047_,8,,1,9,4,3,,11,2,1,,3,3,3,3,1,4,4,1,,3,7,,4,,,2,,3,5,,4,1,90
Контактор  КТИ 5225  225А 400В IEK (1/2),120100046_,1,,2,1,1,,,1,,,,,1,,,,,,,2,2,,,1,,,,3,,,,1,1,17
Контактор  КТИ 52253 реверс 225А 220В IEK !!!,Р654654528,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Контактор  КТИ 5265  265А 230В IEK (1/2) ,120100086_,4,3,,1,5,,8,2,7,6,16,2,,8,9,1,12,,12,7,,2,5,1,3,,,,3,4,3,3,4,131
Контактор  КТИ 5265  265А 400В IEK (1/2) ,120100089_,,1,2,,1,,,1,,2,-1,,,1,1,,,,,1,,2,,4,,,,,4,,,3,,22
Контактор КМ 20-20М AC IEK,120100306_,59,3,26,74,86,14,66,15,11,314,,251,41,103,244,168,114,221,368,2,154,277,160,119,72,160,147,85,125,102,68,138,81,3868
Контактор КМ 20-40М AC IEK,120100307_,4,,,10,1,,1,,,2,,,1,,,13,3,9,9,9,2,,4,2,2,2,9,4,3,16,,,,106
Контактор КМ 25-40М AC/DC IEK !!!,120100319_,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Контактор КМ 40-11 АС IEK (6/90) ,120100220_,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,4
Контактор КМ 40-20М AC IEK,120100325_,,1,1,,,,,,,,,,,,13,12,5,18,11,13,13,31,2,20,5,22,4,52,5,54,12,9,16,319
Контактор КМ 40-40М AC/DC IEK,120100308_,,,,,5,21,19,,4,3,,,2,,13,23,5,,1,18,1,,,23,10,-1,7,11,7,10,18,14,3,217
